	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.5129764195330508	1.5482460729804282	1.7154043338910934	0.09035369569913868	0.2842014463260937	-4.390082810659065
A1BG-AS1	0.22443077269730716	-0.19337331307249273	1.0719691771379178	0.287132779532221	0.5218896336648495	-4.990017856188849
A2M	-0.08047963687173088	9.769095029540837	-0.671737585223398	0.5037916195397427	0.709346274352404	-5.67875310942942
A2M-AS1	0.25164662538911386	2.381241159585242	1.5783901424696014	0.11863764685907939	0.3260750474468396	-4.683678409956434
A2ML1	0.7027464938438148	-0.9937619459330563	2.3440353803609213	0.021696453650782162	0.14516339023825772	-3.267242679697207
A2MP1	0.49861861128090457	-0.8153256826558019	2.0849526153763893	0.040438667162622365	0.19052550435933335	-3.6964705480578557
A4GALT	-0.10574199388448591	6.463245126858622	-0.970426366003115	0.33491840704712783	0.5703419172096554	-5.708316235395283
AAAS	0.09992587641229633	5.4376249779194055	1.1545304412452149	0.25190725622724125	0.4859064940002272	-5.545633281202033
AACS	-0.022300373594589473	4.491600422429125	-0.21726818458384398	0.8285827215863062	0.9173067001863369	-6.113072566288212
AADAT	0.1815436576180749	1.8048407331602683	1.56801181916187	0.12104099848898962	0.32964673194239213	-4.627284103431413
AAGAB	-0.29435573506618606	4.952408233552658	-2.8732869047051204	0.005266435345840502	0.08260856008642137	-2.3790709672850383
AAK1	-0.19218103529237318	6.5242603261938	-1.2155557118431644	0.22792408100073783	0.4623083926150023	-5.449639857609669
AAMDC	-0.03926114024531202	4.09467562670239	-0.3198732393901428	0.7499438536421774	0.8725229805494663	-6.042827570916428
AAMP	-0.012374699092030816	6.3806182651140455	-0.16128299500609214	0.8722993330516546	0.9401884896882108	-6.153639712373389
AAR2	-0.1973535898786949	4.8742554144594585	-2.674080040702632	0.009172761913209248	0.10131139384795619	-2.8602506868738953
AARS1	-0.13323766773189583	6.909701086457863	-1.502338913806171	0.13716159271266537	0.3542682332723581	-5.058964223550721
AARS2	-0.14319696912226343	4.012457976747027	-1.5856825136388357	0.11697186176644521	0.32407779507067397	-4.893507327539764
AARSD1	-0.11542706635630129	5.045048121611189	-1.375872728420343	0.17291014902889945	0.40106829442040226	-5.268456741012253
