	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	-0.4543640768749907	-0.27498385881841014	-3.2497174357362337	0.0014548281598245677	0.004697280290417667	-1.3392658083830922
A2M	0.4188504783487925	7.500496437372413	4.176097467281567	5.2583514552566016e-05	0.00030757449396925614	1.3142843667706092
A2M-AS1	0.23006325978247372	0.07250059514666357	1.6494551594929998	0.1013546096823022	0.1636067045278402	-5.0118727923205135
A4GALT	0.543629787603698	3.9139498110488	4.503883097237919	1.419021196635143e-05	0.00010600073903247054	2.5625335157639144
AAAS	0.13885994410680613	4.815696006970583	2.1622846583641406	0.032339791274112975	0.06331718099608362	-4.6189616773070075
AACS	-0.23237022069272362	3.157798203621826	-3.1147863738752304	0.002243967387321382	0.0067962270674782055	-2.1059747614361184
AADAT	0.3300780291906441	1.0661038559414735	2.986709053191296	0.0033440744125885088	0.009478595068562025	-2.219831476519265
AAGAB	-0.20371527872578188	5.237270752425494	-2.9685399032962123	0.0035352948038280757	0.009912054121614952	-2.6631167965093567
AAK1	-0.12498371375678996	5.5629721524292455	-1.3100622462641525	0.19237585076560756	0.2762522483957869	-6.071981359524478
AAMDC	0.15503850510092665	3.859478674036009	0.8751508751066582	0.3830296164923279	0.48012742811593784	-6.464673910942736
AAMP	-0.021458287172425372	6.175957187708761	-0.4742588553571854	0.6360733536837145	0.7163629809968582	-6.799445597067668
AAR2	-0.2976555990906773	4.655739633514825	-4.644413727476323	7.932453629558165e-06	6.533710897539373e-05	3.0749179097253068
AARS1	-0.16165806796308324	6.662092236190891	-2.094984057893299	0.038020708189504135	0.07259127931241	-4.741030503159663
AARS2	0.13564583394169594	2.803015812807574	1.4446198960687842	0.1508570071135116	0.2269850441999167	-5.686743566200333
AARSD1	-0.05362533557236748	5.201357509839725	-1.0873770548023791	0.2787871505349362	0.37220619025055207	-6.334069460822631
AASDH	-0.15579181594013258	2.7521773688872475	-2.4386090529465423	0.01602923346354673	0.035298443941467576	-3.819710577166037
AASDHPPT	-0.1354295269918575	4.7140459455132	-2.0479650422257913	0.042481292232354334	0.07962734623157061	-4.847391254594388
AASS	0.0022070554780135865	3.9755133335404804	0.012614079492959857	0.9899541112079364	0.9929289767244743	-6.856248356388257
AATBC	0.15131705809249374	-0.8488597818955608	1.3419121806669083	0.18185312166470372	0.2642042619065712	-5.341432791913758
AATF	-0.2883886531387585	5.121358613708535	-2.5703651061832957	0.011231504248737307	0.026112761923338418	-3.702310699137618
AATK	0.3323173128094435	0.4683455526573548	2.008758207257162	0.04653586338052313	0.08593306797514934	-4.43437738042098
ABAT	0.18395555972071187	1.7767025152038671	1.660642973877059	0.09908128183110256	0.16066111350022877	-5.220052501054434
ABCA1	0.5406025602351159	5.425715413319793	3.4681889461197626	0.0007013880045603815	0.002594605600749059	-1.1746623819018334
ABCA10	0.423326831025292	4.114959069128241	3.2184994240794556	0.001610158419657608	0.005123897410854091	-1.895229425034823
ABCA11P	0.06690655608935181	-0.6893143983514073	0.4416776211050906	0.6594216318212636	0.7362781179143221	-6.131974778896159
ABCA17P	-0.4229269529462707	-0.632847545794474	-2.656917889366672	0.008826434632509799	0.02124735642000279	-2.9010758287012677
ABCA2	0.16181837749282124	5.277483881696194	2.429556888735322	0.01641763072634689	0.036051035413745575	-4.040041045622909
ABCA3	-0.14889280895650536	4.188993245180536	-1.8191005457154	0.07108853331608737	0.12199184392148389	-5.245472405150896
ABCA5	0.1928664999124381	7.313056382138685	1.8156104345299957	0.07162574198791152	0.12274161573331022	-5.243046985789865
ABCA6	0.43169984491163227	3.822668802887365	3.5427266880390014	0.0005426046399404916	0.0020876845014844276	-0.8646397723332644
ABCA7	0.5925630961665886	4.3198752164919085	3.7488725147947157	0.00026148136346601666	0.001139500090166742	-0.22003428374048983
ABCA8	0.4666614029271541	4.593656547613225	3.2841778779068327	0.0012996376874157695	0.004298756548961259	-1.7269467495501756
ABCA9	0.394890413887909	5.04958566988164	3.012747516686202	0.0030865986985196036	0.008850017275763159	-2.536436660315341
ABCB1	1.1399638898427253	-1.0414440307591777	7.465069536532304	8.87208740718186e-12	1.7607496711063891e-09	16.189725309597428
ABCB10	-0.22553936768675786	4.4691305779988575	-3.29812952995406	0.001241316046809281	0.004138719052783058	-1.6783086903183824
ABCB4	0.5760255687758495	1.5369385557432833	2.2918049790084773	0.023447868880896314	0.048466629470069425	-3.992612254977212
ABCB6	-0.27749075673341816	2.0576721645618226	-2.618044581377202	0.00984233029380958	0.023270430269337894	-3.3021135299105104
ABCB7	-0.04069699064363963	5.025271697358463	-0.7061365703207081	0.4813070902508586	0.574719564795846	-6.6697161411231685
ABCB8	0.04444903949375778	4.0385482251773395	0.47003519084993167	0.6390802021167377	0.7188122729789698	-6.752103068379813
ABCB9	0.07539736894862648	1.2333383640653677	0.9498799129103394	0.34385258913439753	0.4406309273510762	-6.046960977216911
ABCC1	-0.4845555259262957	5.96642620381346	-4.504987289504841	1.4126163056084966e-05	0.00010562975083587771	2.5142779803271047
ABCC10	-0.10908727908130533	3.5576945849693504	-1.6026405210541534	0.11132634879135718	0.17696057564128925	-5.545958242455831
ABCC2	0.03842795679505118	1.30423981683326	0.20148710449283866	0.8406177570253022	0.8830063929385301	-6.479918732370655
ABCC3	0.6542443388094171	-0.46263555347357677	2.9449895404469797	0.003798116663834979	0.010521904004138305	-2.177956497413404
ABCC4	-0.3022453908038987	3.786289733961985	-2.070230781354177	0.040316082907639904	0.07624027730898784	-4.736471045480248
ABCC5	0.23252743707736823	8.074536334093985	2.0212046811192472	0.045214434708969305	0.08394680001718371	-4.820987448453034
