	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	-0.1646094892196833	-0.1351377485884661	-1.227603456578505	0.22177285789936618	0.5986819580089887	-4.888539851900092
A2M	0.14286948905881935	7.3701500588258115	1.4826964401589449	0.1405302383524796	0.5044798534452495	-5.033240145614681
A2M-AS1	0.10942562740863465	0.006340959470822594	0.7766930999666259	0.43872453807153433	0.7660011504103788	-5.285549643616193
A4GALT	0.18300733862071672	3.75267368269481	1.4784027710664687	0.14167387553719585	0.5058649492193674	-5.006954317714445
AAAS	0.15340776563320713	4.810952143932251	2.594769283832489	0.010531701609219303	0.20622475977732624	-2.9679392850537445
AACS	0.010839676402687903	3.298085122343043	0.1358032945712418	0.8921829404321666	0.9686868693428499	-5.977209099655618
AADAT	0.1255709844859163	0.9594954173869769	1.1078267069961039	0.2699441211546731	0.6461894099165618	-5.125642399838843
AAGAB	-0.04486772601689104	5.319193325590994	-0.6622065563860146	0.5089892678057388	0.8144493775326955	-5.916564969639782
AAK1	-0.1533241329265751	5.567716334850928	-1.832457535849881	0.06912904384382329	0.39223644329099927	-4.536233523022414
AAMDC	-0.11924041229819426	3.701840587021545	-0.7075872911987924	0.480444630364268	0.7955944085773133	-5.794749829346636
AAMP	0.09334503647955295	6.227684190930701	2.057813912994121	0.04156914804776585	0.3321912281215299	-4.119455473322977
AAR2	-0.05876641375431735	4.78060639815965	-0.9289568594573212	0.3546011029138181	0.7129890193582055	-5.700282933339287
AARS1	-0.02972000304204503	6.742588732997868	-0.3880616448963959	0.6985933219355647	0.8988559248244	-6.028977422528062
AARS2	0.02730144436773152	2.7420304149676706	0.25488956980437016	0.7992036822373011	0.9350784956450768	-5.8838644552639146
AARSD1	0.031000458201899228	5.239141157467141	0.5646122841820225	0.5732923403933571	0.8439207903793112	-5.972834158168076
AASDH	-0.0874598906273869	2.782097475272257	-1.5133960763180123	0.13256131995924092	0.4919818503386451	-4.857179497324924
AASDHPPT	-0.08298389468560607	4.733307517047421	-1.1235797334246467	0.26322344095776035	0.6413191239185035	-5.508387356317832
AASS	-0.13910368938735518	3.931472591889634	-0.8373275575377135	0.40391658835877353	0.7445611919966045	-5.721941465898128
AATBC	0.011033709521085289	-0.9002629439095057	0.08019873628358519	0.9362002294554985	0.9830570977966145	-5.431791347307816
AATF	0.029597527260794898	5.285715179728274	0.28234998048300247	0.7781158391092837	0.926891377533878	-6.088115209055593
AATK	0.25361027662815216	0.43340059204831455	1.2736739581424366	0.20500927778942296	0.5802209006774842	-4.895780188526574
ABAT	0.041497156498518706	1.7214912107302334	0.39861198039856754	0.6908209161685126	0.8952241722515208	-5.701641128384683
ABCA1	0.14308453616992267	5.210855411087927	0.8854931163135676	0.37749529417388694	0.7280230978644391	-5.749924800880342
ABCA10	0.21165127327865862	3.996870246397248	1.6134443525710684	0.10902771961621499	0.45958125438683506	-4.832289724322708
ABCA11P	0.10082143202711624	-0.6606128713437016	0.8599865609166941	0.39135017223279867	0.7359030329180904	-5.156316451558394
ABCA17P	-0.19046137399032398	-0.4755633991945464	-1.2162342687888756	0.22605845527644308	0.6036010029795414	-4.868753616339603
ABCA2	0.2590722300530297	5.323919882524642	3.6175092614039728	0.0004218179816094812	0.08649420614607205	-0.14726380048664822
ABCA3	-0.0009801317520183872	4.286561973004006	-0.013192664517779604	0.9894939303763179	0.9982693648082845	-6.0845420089347035
ABCA5	0.07186094481000094	7.239021605463837	0.8106144896707641	0.41904102634769214	0.7548511129156181	-5.767060862255133
ABCA6	0.24901470325858766	3.7418324606598468	1.9921532258325128	0.04841013031891361	0.35085580463788785	-4.178342452734884
ABCA7	0.44281913246410376	4.250411333310084	2.834710713920027	0.005306090473143517	0.16336529284818802	-2.3584790603136776
ABCA8	0.04369851826169402	4.373121376818136	0.2902335123489993	0.7720914447197982	0.9246202674459252	-6.050328938191288
ABCA9	0.32481004560060356	5.0078366405320205	2.4332792085566712	0.016296464176753952	0.2480249154329932	-3.3435885148473066
ABCB1	0.4637836898522396	-1.3945344334819525	2.887444506671247	0.004537386482067118	0.15460802291331252	-2.1750260204195966
ABCB10	-0.09111835424246362	4.54631458660711	-1.3674742353162705	0.17379241429003403	0.5473439431105906	-5.212098493622105
ABCB4	-0.16253932483808575	1.1482044727802685	-0.6495919651144367	0.5170806316428902	0.816277813158739	-5.506079978400647
ABCB6	0.13705621732490592	2.253710584862297	1.255119144909253	0.21164519566563825	0.5879038136650512	-5.123665665355202
ABCB7	-0.10747755066249809	4.988078542685419	-1.768035288491215	0.07935711831381877	0.41533807539441997	-4.638157284102333
ABCB8	0.17696287182451886	4.100496473522064	1.9091891899861466	0.05840032216504998	0.3700891260053913	-4.354725611430214
ABCB9	0.0718265051557736	1.226513702570739	0.9521408656747418	0.3427596285031107	0.7046375607250422	-5.299915524924491
ABCC1	-0.10678991663538273	6.132682015862239	-1.057617554518959	0.29215468280487045	0.6671720839173266	-5.585912033187702
ABCC10	0.12108852498076939	3.6683566285300016	1.6554784807191367	0.10019466865339008	0.44611984310595176	-4.740583527472216
ABCC2	0.07168353444196707	1.345101409501886	0.3809809907287837	0.7038276635343583	0.9008970378538115	-5.656483111633395
ABCC3	0.7175617046929738	-0.45008850729546385	3.0869245095145574	0.002463513071480132	0.12921126059913293	-1.6529442065199556
ABCC4	-0.17414372831219183	3.8614302384365833	-1.2675022011937689	0.20719934299766923	0.5818931503202406	-5.288223677175003
ABCC5	-0.08519811327968085	7.900810289747448	-0.7474195175368341	0.45613506120505165	0.7780254946408117	-5.781418420457899
ABCC6	-0.03276920277619744	1.1810745091623416	-0.13264828728853043	0.8946728244883535	0.9691672594130278	-5.691380391148301
ABCC8	0.04355506617925742	1.287975093583958	0.1970870945589384	0.8440614588035275	0.9516217827653622	-5.696517577363938
ABCC9	-0.07099422757358465	6.6653982237441065	-0.8568599934649999	0.39306971620254316	0.736907532004358	-5.753181034346528
ABCD1	-0.011415107011914394	5.266610780668537	-0.12669907169397862	0.8993706924188701	0.9708311641943056	-6.118421948596227
ABCD3	-0.06589072322272127	5.244073008189006	-1.0629004366606372	0.2897609232655064	0.664783608102784	-5.585709512329135
ABCD4	0.13026816514773865	3.8144026736721828	2.4262234603522113	0.016602642590297537	0.25007489309421904	-3.3057317361877585
ABCE1	-0.0854719366639598	5.455459658506725	-0.9928467825123916	0.3225947376650644	0.6910484429640462	-5.656218514264291
ABCF1	0.00812043529519535	7.389991654032931	0.13157150596607853	0.8955228455903996	0.9695196704770044	-6.064951673505621
ABCF2	-0.02305311299006707	6.963603402633733	-0.3381446269596778	0.7357895152826629	0.9121901757083563	-6.037610417654362
ABCF3	-0.09364428793738888	6.059716969764071	-1.5718754774458092	0.11836492115267629	0.471469279101764	-4.947472825500239
ABCG1	0.1573950577157852	4.011109189425856	0.774088873730784	0.440257585063617	0.7669793403163416	-5.777274930700245
ABCG2	0.5388778632582543	-1.5221261297524242	2.8399086074304907	0.00522534965312575	0.16244956316856188	-2.285350249844559
ABHD1	-0.17885945911399836	0.8750453945002219	-1.2250382531593775	0.22273462760757143	0.5995382589891485	-4.995911681957394
ABHD10	-0.05052066454601567	3.401521071316227	-0.4599861239457089	0.6462802810735373	0.8760635229689837	-5.898337700107944
ABHD11	-0.00344540924317549	2.598654948482066	-0.030902575574772367	0.9753937469639617	0.9941644028566031	-5.894518492741346
ABHD12	0.10417636641867212	3.660210380300025	1.6044908553831294	0.11098741869184185	0.46110947256663015	-4.817169857265375
ABHD13	-0.1997975818179878	3.480522878851594	-2.8468298398631022	0.005119582008771967	0.16163845477522124	-2.2865689900781465
ABHD14A	-0.07401420291508787	3.4541658153516126	-0.6880645137231753	0.4926152707043523	0.8041960722058824	-5.780762740358776
ABHD14B	0.1994919190303639	3.8660536118152153	2.5813815623118446	0.010928189107011214	0.21061104702747221	-2.9567713141988348
ABHD15	0.10898927490762866	1.887121078545583	1.1755071975271247	0.24190030346424754	0.6174049107883106	-5.167431532678734
ABHD16A	-0.10378808000102513	5.247958635064677	-1.1598463467743512	0.2481975928140489	0.6244150561554448	-5.483295012608526
ABHD17A	0.03977270117536502	5.008582076138652	0.5013218251147564	0.6169767360083691	0.8631784756576016	-6.000184505279482
ABHD17B	-0.2163794511323518	4.109207230191628	-2.448143213765916	0.015667822032902505	0.24635721025182675	-3.2754599159950977
ABHD17C	-0.141429801084198	0.8748144431844868	-1.1385159781167904	0.2569599124072961	0.6346641899787336	-5.085537150568918
ABHD18	-0.2716010910357167	3.7865064639308295	-3.0442149656349984	0.00281463390071672	0.1364214965872137	-1.7869879029753282
ABHD2	0.08689433456821938	6.221192111747365	0.5040655342216582	0.615052654213887	0.8622255075545512	-5.9963438717140685
