	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.22275025243339241	2.979879497261897	2.1550852168939754	0.03285311260778951	0.07922050836032532	-4.108592585401437
A1BG-AS1	-0.376967710769605	0.8455443154264678	-2.508914481066316	0.013242012243174152	0.03866891108183456	-3.118473145587431
A2M	0.613603221382979	7.6268372763257295	3.4086541814273734	0.0008513709105075351	0.004609950019823487	-1.071201176235589
A2M-AS1	0.2809432839013535	1.3707695648633447	2.1785891901648116	0.03102377354272674	0.07561077300030275	-3.8678227792326525
A2ML1	0.40336447850761825	1.9413030024678273	1.876696770961572	0.06262600005849298	0.13005251756551117	-4.49700367268707
A2MP1	0.6891101182243503	-0.6510953817607955	4.2626057207976835	3.677333004441195e-05	0.0004044017501529905	2.0409704528255093
A4GALT	0.8653533186612714	2.2105371308653083	5.099582331005829	1.0779043090271124e-06	2.9345503049202057e-05	5.291927877584019
AAAS	0.18198310155157404	5.197047892031336	2.822973744399303	0.0054466688617993845	0.019515173632772897	-2.805495312864701
AACS	-0.39433324663002267	5.04198161059715	-2.7588111540516316	0.006571080926158195	0.022628799445154026	-2.9646714637717846
AADAT	0.12963645586955597	3.357623586226695	0.551845690098891	0.5819275803117954	0.6968109687964514	-6.255780339231639
AAGAB	-0.2901196932916976	5.242686225270369	-3.6946230847741948	0.0003142379638980294	0.0021734901567907433	-0.19775662029122465
AAK1	-0.5366146005319656	7.103310271669162	-4.100437163877211	6.934331868335385e-05	0.0006683601238389189	1.2339203439310547
AAMDC	0.4378230943072765	1.8783416762334215	3.6712575822928386	0.0003416345009913321	0.0023147793382142195	0.023756540892634348
AAMP	-0.056225739096951166	6.628397561252826	-1.2920871975618138	0.19844045206228586	0.3145734536376375	-5.819405794116511
AANAT	0.25387493518771376	-0.6785818814939181	1.656456787153071	0.09985284486046557	0.1866144715955156	-4.643349577236066
AAR2	0.1544753012494473	4.4696365757282015	3.1935921791284128	0.0017333724969092708	0.00804081482015985	-1.7159312999800065
AARD	-0.8560890677046644	0.03873971208862942	-3.291176268809129	0.0012606599711472417	0.006288909624764867	-1.0636051564208255
AARS1	-0.05429786525103175	7.914561637030848	-0.8545282612445081	0.3942617924403513	0.5246819125776836	-6.205409721259392
AARS2	-0.33291466940098946	4.460543300388636	-3.74065763541524	0.00026622846312602703	0.0019222852552756222	0.008023579990655172
AARSD1	-0.13862635412057145	5.065410498832245	-1.9844757714973766	0.049143657208097276	0.10801068227301105	-4.711574770256247
AASDH	-0.046651155711243675	3.5721961214042937	-0.4419943555226936	0.6591703999883669	0.759195702379278	-6.34643700849739
AASDHPPT	-0.38551460551720584	6.1764512132316876	-4.296050893200454	3.21966043853434e-05	0.0003669794159419341	1.9264217948119935
AASS	0.1623399530588765	3.36080500557909	0.8951419017322708	0.3722366519073981	0.5029071004088969	-6.013874277925531
AATBC	0.1326367535956205	0.2511955346313678	0.6855881459846327	0.49409841783830777	0.619745999211912	-5.768889504333382
AATF	0.3440406898644248	5.223253595146723	4.468289870076084	1.6058765212978724e-05	0.00021420715975256036	2.5920829265339655
AATK	0.10648662342070203	8.000917766272385	0.833289198199712	0.40609084979847665	0.5358721289315297	-6.217377929661528
ABAT	-0.3394269305462032	8.47313281517691	-3.255593088843736	0.0014170208244211706	0.006896970935276196	-1.4933459534610432
ABCA1	0.6111329135686958	4.667998902361926	2.663967517870179	0.008621924960887265	0.02776782793055515	-3.177605897197553
ABCA10	-0.25943873974295917	2.377814916995212	-1.386506944709858	0.1677803424702869	0.27688841770883976	-5.312248136936484
ABCA11P	-0.1354290531289255	1.3850353447572095	-1.304410587754068	0.19421861676646507	0.30944915750174473	-5.292926384818681
ABCA17P	0.06283753020740868	2.2769126356178253	0.6641170370508361	0.5076998537932014	0.6318947367116612	-6.008765762169561
ABCA2	0.19714413316176937	9.703971806957938	1.4228056890965153	0.1570009780508919	0.2635781684685768	-5.45465895865021
ABCA3	-0.3074775187407859	7.281827522894242	-3.3168016025684346	0.0011581950765308768	0.005864068791447644	-1.3706018219191503
ABCA4	0.14018912734146477	-0.26531052116299914	0.8559042672740975	0.39350276556895203	0.5239840375628197	-5.603287479330203
ABCA5	-0.3632377606035906	5.603811788674937	-2.0512501260855176	0.04209364934297184	0.09608924187473998	-4.604490295834535
ABCA6	0.9836053986912418	1.513219745569927	3.9679289133606046	0.00011496463516178218	0.0009943842167352691	1.0218781252181408
ABCA7	-0.3264423100483844	5.023672539907699	-1.807336361361954	0.07284153680290763	0.14628672816803187	-5.032838383414144
ABCA8	0.676738295321031	4.594269851516601	2.9066427110553934	0.004244230384086907	0.01613643177393115	-2.538108768083503
ABCA9	0.16241302095437327	3.7481931912703472	1.2411967415357992	0.2165938789299375	0.33497621041064185	-5.718695029568049
ABCB1	0.6072479913663447	4.888699713042517	3.574852806448051	0.00048039464859051624	0.002987982744997267	-0.5721566953668527
ABCB10	-0.21961491379591358	4.1687074748346	-2.208090150890716	0.02885324930743435	0.07120908177270951	-4.174062508045122
ABCB4	0.1985895410813011	-0.5393639084376171	1.108303984882233	0.2696173111634469	0.39545250464285725	-5.351434281593121
ABCB6	0.04825441699196986	2.2499206994440035	0.5168920711652919	0.6060412611425274	0.716795614542693	-6.088674135658378
ABCB7	0.015064452037328202	3.6896229621526024	0.21168033183414717	0.8326620716911264	0.8882905521021736	-6.440259897013353
ABCB8	-0.2671833492214004	5.838023310654046	-3.564629965741878	0.0004978862155823145	0.0030748963860823715	-0.6370705207268452
ABCB9	-0.14385369422006278	5.131869009398867	-1.370983129902985	0.17255826304628671	0.2824159923533737	-5.713949584533673
ABCC1	-0.08554012400395639	4.157455194115283	-0.8688606114293684	0.3863997817606786	0.5169949384224612	-6.164336810972787
ABCC10	-0.11329240851696287	4.863463566069392	-0.9170304109723613	0.36069241971159927	0.49145299522841307	-6.20317428356035
ABCC11	0.21068213087150914	0.1083075864196657	1.3892110233903954	0.16695844877036814	0.2759821273576325	-5.074105045048641
ABCC2	0.24883007466375673	-0.3933538776697747	1.496870820128702	0.1366618234637638	0.23769825117959	-4.89369072208714
ABCC3	1.0235632808342567	0.10085694882338313	3.8008601535413726	0.00021386230128106685	0.0016306754992537545	0.4912425626083312
ABCC4	0.354337619335511	2.280281543333825	1.3673750471391521	0.17368334921056552	0.283753997082131	-5.323468333758664
ABCC5	-0.30704851979652403	7.1918093951484	-2.2751198328881874	0.024406759322077302	0.062338211636686826	-4.097326520633576
ABCC6	0.37356726916351557	0.37849893355848174	2.310205771604747	0.022327955749532214	0.05818301602580911	-3.5251042703586233
ABCC6P1	-0.10664055348472723	-1.3858204440893662	-0.5080536889406215	0.6122095087420532	0.7220341816404571	-5.740346934187095
ABCC8	-0.5307370796744371	5.926450871616767	-2.449272970620307	0.015540618153780071	0.043825658286683895	-3.750788459580043
ABCC9	0.6376433058265958	3.2870966205016847	2.784370726181806	0.006100034818204267	0.02131133856473449	-2.699218480480805
ABCD1	0.3289790122539924	2.9530291108289846	2.6916109436766704	0.007971345719584667	0.026125844348446496	-2.888523043171881
ABCD2	-0.5077233163088177	3.684362589684469	-3.0676635415085327	0.00258733029346573	0.01095278974855605	-1.987480216696448
ABCD3	0.16024451405549023	5.617640993329684	2.4133851980565613	0.017088892580149773	0.04725195455853268	-3.8317106758795623
ABCD4	0.22198734140462228	5.417325520634209	2.6996666813883334	0.007790300203887931	0.025684636784984487	-3.1342297425082357
ABCE1	-0.09693454511719501	5.303886259371942	-1.6759664623776866	0.09596061101644583	0.18096834095787878	-5.270612386259613
ABCF1	-0.12237940483392862	5.808134090313767	-2.068201798172159	0.040448112304423564	0.09306663325257529	-4.573290410125908
ABCF2	0.003370403700373892	5.890222956078364	0.06145477855323099	0.9510840449607222	0.967202368359042	-6.658768660552404
ABCF3	-0.14818202080673792	5.889639114097979	-1.9033859422279233	0.059027992125719804	0.12433762877116042	-4.888700268645126
ABCG1	-0.008066972996282118	4.530115616293783	-0.07522769330873011	0.940140168951975	0.9600887818551598	-6.581269093115729
ABCG2	0.9667159819857822	4.989402013639578	3.9746290051259034	0.00011209433752306584	0.0009756554838813178	0.7754707640476797
ABCG4	-0.7401822676284313	4.353476441080969	-3.1988586904402765	0.0017041418667891799	0.007946374361089262	-1.6888113660787054
ABCG5	-0.15228398189923764	-1.4774875787193191	-1.0134982261903545	0.3125580824640084	0.4410439395426603	-5.38003288915925
ABHD1	0.6092751692077825	0.7560928576721311	4.236332886474905	4.080002279828934e-05	0.0004385540314635541	1.9658068370672854
ABHD10	0.043275672680548105	5.44913384471623	0.7288676696132836	0.4672914081797921	0.5952982828813905	-6.391074250515467
ABHD11	0.2936837461392816	4.083780999691742	4.366970504171384	2.4232325432368456e-05	0.00029182467618226463	2.279660019591037
ABHD12	-0.12356584217659883	7.214216640983145	-1.6092800922961716	0.1097915863633476	0.20073861881934532	-5.340439933487528
