	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.6740860029020879	1.640465216075712	2.174023821081499	0.03283290606363605	0.153651800735833	-3.6170927703553843
A1BG-AS1	0.2316868957608349	-0.18648017533033112	1.0403315963142163	0.30150122934758045	0.5316030441956436	-4.984224671068572
A2M	0.024539742762385686	9.825184771401352	0.19486241825699452	0.8460233282305148	0.9215696032611999	-5.783834928618791
A2M-AS1	0.38115435800988573	2.453589243785397	2.4839630412563602	0.015206463432143694	0.10333703555003461	-3.067126825501667
A2ML1	0.5886574092798526	-1.0412696078221473	1.826385613836299	0.0717396579880452	0.23281495582575834	-4.065276329015294
A2MP1	0.31631080736045103	-0.8994146453813323	1.4061454263333755	0.16377752933984696	0.373082184702726	-4.583435057886849
A4GALT	-0.054761388602147854	6.497330759941609	-0.49521467853718903	0.6218847709748148	0.7908130447362021	-5.995308051762472
AAAS	0.20765655652966775	5.497940102600744	2.349438699923562	0.021414235016009746	0.12334631141083656	-3.5722951289292304
AACS	-0.0962501550966266	4.462955759029666	-1.170900803847165	0.24531576093508609	0.4706001793157445	-5.43882021130665
AADAT	0.25517365671991055	1.8587219510807693	2.316243731577246	0.023256745513821696	0.12835049018455244	-3.364912084705748
AAGAB	-0.4011096910753782	4.904460131421386	-4.013689834217288	0.00013947371910689527	0.021512597418041884	0.8922610406191849
AAK1	-0.22380158109685233	6.519047330477438	-1.417956671055964	0.16031181090127003	0.3684775577693512	-5.155687676298205
AAMDC	-0.09363078021576143	4.076543773136061	-0.7823125453536753	0.4364741680915919	0.6535538864424193	-5.756745219665768
AAMP	-0.008341391721151226	6.388936206900221	-0.12452124831240459	0.9012330475524093	0.9499252016182288	-6.112579621716314
AAR2	-0.1632281027953688	4.897479224088286	-2.5524966411030086	0.012711889918741242	0.09573372383517591	-3.114244528207149
AARS1	-0.11079042657752591	6.931113264491937	-1.084118489256087	0.28175722655209157	0.5114320209085216	-5.521690082442944
AARS2	0.002711384734698896	4.084062041711425	0.03308873777238622	0.9736910200690813	0.9861376019469617	-6.04905032406793
AARSD1	-0.16438970011114495	5.027163635730969	-1.986668138502077	0.05058275617997603	0.19163201286139248	-4.2762547662166295
AASDH	0.048560849274605467	3.13957996585286	0.5153127397362234	0.6078379377897307	0.781448409300168	-5.7780217094828705
AASDHPPT	-0.2537847683358381	4.6949658467634405	-2.4425388406538975	0.016919522709741647	0.10948964235602614	-3.3485068375586624
AASS	-0.16088486432864002	4.918390283568753	-0.9426382974509365	0.348868255738923	0.578368222842931	-5.70102311666505
AATBC	-0.014692664895204155	-1.205775239072676	-0.06670060412352155	0.9469961172302958	0.9731918936185072	-5.322978206356465
