	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.00496053296272958	2.8748856600861994	0.04163570964063132	0.966850611686261	0.9952460954763275	-6.101068742698277
A1BG-AS1	0.0036276151156731107	1.094458958119297	0.025449734955554647	0.9797338162224944	0.997112168208941	-5.862366926538094
A2M	-0.0132725326383909	7.286486645490387	-0.07308363442189314	0.9418477200660271	0.9900161457773601	-6.385959952460301
A2M-AS1	0.23266727469638337	1.3296434069045973	1.6790041854275422	0.09546400858009038	0.5272267344494715	-4.589297187879135
A2ML1	0.3460826879591359	1.899491233269142	1.683405036745833	0.09460745464520805	0.526347068439856	-4.637374677937907
A2MP1	0.31271380554381467	-0.8627171122758914	2.1800720827215603	0.030985540851783747	0.332432736007793	-3.6047529801532576
A4GALT	0.135874434017754	1.8166752463493376	0.778970293018371	0.43736033553063935	0.8527640014255391	-5.661135194683075
AAAS	-0.00011627249855816757	5.105585980754201	-0.0015237384691642042	0.9987864820573313	0.9995087139214281	-6.407167559338892
AACS	0.016336545120084978	5.274836899032433	0.10931344693465635	0.9131161782856752	0.9846034798500997	-6.411060960719968
AADAT	0.2465512985533711	3.365384252685324	0.9452013176778253	0.34624450442756616	0.8076009499065596	-5.755817813426105
AAGAB	0.07101310954830087	5.445035986617375	0.8287280943636628	0.4087208715658467	0.8374627566920524	-6.088142645780909
AAK1	0.011983261525861266	7.416266440728323	0.0931280586377434	0.925939871853094	0.9866285585609644	-6.377639656410558
AAMDC	-0.022881681464597348	1.6205965314595652	-0.18711690263335676	0.8518498563142421	0.9727846606218318	-5.904846140721698
AAMP	-0.05024238884793153	6.638316043299702	-1.201148295975526	0.23179649621134268	0.7178205361944465	-5.714006722670426
AANAT	-0.25047950495652016	-0.9078676568329918	-1.673500333488793	0.0965440690167032	0.5301708288598375	-4.449170900846017
AAR2	0.05805632921800985	4.416023930798415	1.2185136955206357	0.22515362330497263	0.7142025441923472	-5.622252570050854
AARD	-0.1404677349370388	0.4239446722462833	-0.5032468533343911	0.6156107137132996	0.9188478801204036	-5.682838754295355
AARS1	-0.027998239865528518	7.940644829618214	-0.46872150133037155	0.6400245999108631	0.9255205313102236	-6.2463256955270765
AARS2	-0.15782914699967687	4.569777070804363	-1.7135075974092786	0.0889141950279042	0.5128470060026725	-4.941010153035935
AARSD1	0.014781817053999724	5.166824540354157	0.252457833746922	0.8010711208484528	0.962061621632214	-6.379719695980043
AASDH	0.0732045868814426	3.630137254143397	0.6459227433638308	0.5194256725623747	0.8849574691458751	-6.028395188138055
AASDHPPT	0.04925128534763701	6.398572008554323	0.4871860860861967	0.6269164776395129	0.9206120739375179	-6.309316632689962
AASS	0.2362226511062957	3.339683945272074	1.1850781450769978	0.23806819818901714	0.7232293923936499	-5.507141569178857
AATBC	-0.06336526938893698	0.15290972047049387	-0.3253988490935934	0.7453829295322285	0.9519801707025324	-5.726490413583604
AATF	0.13103603027304533	5.12010072570555	1.4493666896233373	0.1495538868727718	0.6237470554021539	-5.386303365016853
AATK	-0.18863718671364804	7.835646915491103	-1.5420743630365452	0.1253960025685396	0.5861063586205205	-5.207165115247651
ABAT	-0.0017584849796250523	8.660639248591115	-0.01954271290272037	0.9844370134166838	0.997350892110381	-6.312501159689825
ABCA1	0.3809634974428926	4.536125260695433	1.5764004540073682	0.11727369870663844	0.570464063978074	-5.153712050193939
ABCA10	-0.2688896375151617	2.3576484897088266	-1.2009083179913491	0.23188927163851866	0.7178205361944465	-5.33955383452034
ABCA11P	0.08877249541624321	1.4900471633797316	0.987857319987625	0.32498949411163214	0.7966761828144623	-5.451758262703133
ABCA17P	0.052174557975119384	2.2961845520104123	0.5936917998957232	0.5537115778265684	0.89684316550261	-5.844236703552598
ABCA2	-0.2248657598649455	9.46941743573157	-1.7292138090080027	0.08605637119724863	0.5091336503287167	-4.828688026181945
ABCA3	-0.12192333282990031	7.3885213370273854	-1.2948215492658464	0.19759162741641237	0.685625607293013	-5.567661274681316
ABCA4	-0.043602757308906226	-0.3683001530416692	-0.26671709678411837	0.7900939034524452	0.9600945490170111	-5.698120950596995
ABCA5	0.14284358331625402	5.878069696513283	0.7310925191263421	0.46598948656856565	0.8638224754233326	-6.170741366311356
ABCA6	0.54245702639996	1.1927285166471817	2.2525883897839716	0.025898574274327353	0.31031574529130906	-3.562062784443441
ABCA7	-0.3033258483407968	5.0820340852139925	-1.441598863402485	0.15173091942216999	0.6271267742269728	-5.394792853888635
ABCA8	0.13135778741407655	4.216187228499761	0.6129089017377931	0.5409675707143331	0.8919726116291854	-6.135311860331415
ABCA9	0.030240525741987767	3.6319377784111704	0.191077796651871	0.8487516687641802	0.9727846606218318	-6.212845986671495
ABCB1	0.19998079557235293	4.6361107965521136	1.1212999973633873	0.2641504820152805	0.7425272878191858	-5.755686949051007
ABCB10	-0.04087752673841294	4.267803921806024	-0.37752064759863746	0.7063794901575728	0.943828481217058	-6.255505568426987
ABCB4	-0.15473708834666988	-0.7720643820495122	-0.7941324082142907	0.4285118823552664	0.8472488253113828	-5.415477565200613
ABCB6	-0.06661760415185736	2.2251076004383865	-0.764986065054999	0.4456148682466833	0.8537731293893381	-5.724418275282063
ABCB7	-0.006820652999422805	3.688106774639334	-0.09466883867061061	0.92471821889309	0.9865032441137217	-6.235358585828017
ABCB8	-0.15417244852772338	5.908041919557171	-1.9090632064456599	0.058375764440119104	0.43794234040621055	-4.667758590372228
ABCB9	-0.03282559851617961	5.218156353323162	-0.3646254761720108	0.715961447197425	0.9458077065955187	-6.348740722267957
ABCC1	-0.10923619510155635	4.174346964695955	-1.115289442105333	0.2667075245385938	0.744300015616416	-5.709134572063357
ABCC10	-0.17472134545839602	4.849448936130292	-1.2519232990639266	0.2127622198095763	0.7027331313400226	-5.624859844488252
ABCC11	0.2366815907232148	0.12177099866235643	1.4360729078555168	0.15329443607377613	0.6315456958266435	-4.839724551938025
ABCC2	-0.2827978102840548	-0.6583497069302615	-1.48379726261234	0.140193362001207	0.6134458680794272	-4.726464218266336
ABCC3	0.002308046580280332	-0.3720506517964701	0.008455266953636882	0.9932662335408962	0.9987585894891878	-5.729898103330504
ABCC4	0.012605948018267643	2.0726141689343938	0.04818403574656333	0.9616407732642125	0.994210957622848	-5.978370124146288
ABCC5	-0.05393213307648814	7.34411089065282	-0.3571367899286777	0.7215469819134573	0.9470787215273282	-6.32320103165546
ABCC6	-0.007526699565205436	0.1778435588263318	-0.0461587493404471	0.9632519217024257	0.9943410121267819	-5.775975421752366
ABCC6P1	-0.06179125782585149	-1.4109006164643534	-0.3019213371726951	0.7631765805157855	0.9565852096222724	-5.608066179680527
ABCC8	-0.14117120326683796	6.170616283142504	-0.6394207763550901	0.5236326118268386	0.8863271583391025	-6.230269042230471
ABCC9	0.11614560155880271	2.986565341537918	0.4769478102074871	0.6341703304339108	0.9239249417821737	-6.011640432277619
ABCD1	-0.19991530569263194	2.6886449429825743	-1.5487716116277639	0.12377740184751393	0.5829789002367723	-4.936765855624078
ABCD2	0.1497799319307349	4.043052985237227	0.9933185895103631	0.32233153192792807	0.7943255306020331	-5.815694585957527
ABCD3	0.12326519832915483	5.586091603311754	1.7959812745257377	0.07473366551689928	0.4827312264640787	-4.864494719918897
ABCD4	0.01612504993357522	5.313171035019241	0.1677018359576962	0.8670687768680619	0.9751734509987745	-6.40498439931872
ABCE1	0.033247468697817695	5.365760305776226	0.556587598223187	0.5787305664188767	0.9080082602882756	-6.269329657229175
ABCF1	-0.05020582034354604	5.852824966164716	-0.9326145605590435	0.35268371760999173	0.8115445612443425	-6.006919025959693
ABCF2	0.025515129945889115	5.9116544957576815	0.4558679503950614	0.6492172775608913	0.9278833356087606	-6.330720940537376
ABCF3	-0.04543030311941454	5.954304063343373	-0.6476480534054393	0.51831232119253	0.8846467336119574	-6.2270337450746505
ABCG1	-0.05246734624205285	4.499825936233306	-0.540139565532386	0.5899905894160126	0.9110171345451282	-6.210679421122719
ABCG2	0.36110642152007877	4.585295397692316	1.3634977340436056	0.17499481149852056	0.6563095832330468	-5.459728639522247
ABCG4	0.006281572458902929	4.79120720934202	0.031117071376378858	0.9752221251492235	0.9970021824389066	-6.382284213230069
ABCG5	0.16705667768155985	-1.3058425217242646	1.1209491337621156	0.26429927688377514	0.7425272878191858	-5.101910240270081
ABHD1	0.3349403735929919	0.5784475562996134	2.358585552512271	0.019778959804524716	0.28002488105178347	-3.311866130692098
ABHD10	0.16658310283999533	5.512797904985306	2.739238300161398	0.006990220450929589	0.18140067198023377	-2.8452436787776922
ABHD11	0.134591828483285	4.015696748927208	1.9250854894553278	0.05632150607783912	0.43063133123143377	-4.511637621525136
ABHD12	-0.10613995602782467	7.223293936794715	-1.3925947338348272	0.16603140423163712	0.6467230558880926	-5.44874372575715
ABHD12B	0.025814553239847493	2.013650244668997	0.0823576936953705	0.934484243908146	0.988630335786523	-5.968237928647922
ABHD13	0.04344246361509185	4.044613678975593	0.5986950980468762	0.5503793223038196	0.8955662752792016	-6.120221081039448
ABHD14A	0.05854741075489667	5.563979046500804	0.6596068862243251	0.510629651694384	0.8818515956884203	-6.21484249319392
ABHD14B	0.23353763929555527	4.180645572519064	2.368478697867884	0.01927886622503799	0.27743858873414723	-3.635816085257049
ABHD15	0.2862757772249893	1.9023532493345976	1.736696602775726	0.08472146995012937	0.5079312099140066	-4.553840283010252
ABHD16A	-0.13190378814826964	5.917487731699504	-1.57340588373216	0.11796522783379748	0.571114501543647	-5.228590131823834
ABHD17A	-0.13657277703145532	6.966824567997248	-1.3577975849541581	0.17679276520871848	0.6587865040237245	-5.506698589766963
ABHD17B	0.08032048103615885	4.978513623190114	0.9584082177059625	0.33956997290574487	0.8040635943572942	-5.949737584423946
ABHD17C	0.14870671990385453	4.680191614479294	1.2735469678313773	0.20501210155000962	0.6944984875174101	-5.583511830425241
ABHD18	-0.026333662525975132	3.8624941802358728	-0.2585535596815081	0.7963734439736276	0.9611482836379616	-6.234852430684156
