	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.9448005749168726	1.7934569493073724	3.218745273499415	0.0018964501965061914	0.00997965947188907	-1.3991016313123552
A1BG-AS1	0.4204525178814817	-0.05929876309301709	2.0269852842111176	0.04618351247828808	0.1015697160848797	-3.9331339021844176
A2M	-0.013544713720220258	9.848429560072985	-0.10106127374165	0.919768881065026	0.9440869161252421	-6.1865804179992985
A2M-AS1	0.2319535091989562	2.42331680868833	1.4272537152396796	0.15761676401403046	0.2573203036557905	-5.1483555423153575
A2ML1	0.5120661066128547	-1.0328096720798623	1.685836550418987	0.09594313707662547	0.17586177710846515	-4.411401595892709
A2MP1	0.45266111746008153	-0.782981994570524	1.9491883562814358	0.054975801514278354	0.11605381980205484	-4.019331568530479
A4GALT	-0.07531606718015116	6.52010611614737	-0.6448781969799657	0.520954739837868	0.6308537501865317	-6.262919338808072
AAAS	0.04828065781742197	5.4613905769321685	0.5171710228408571	0.6065438867968147	0.7046999863884286	-6.363231293881671
AACS	-0.06532876113504216	4.510050539215888	-0.7075383496553703	0.4814035534626485	0.5964825486093888	-6.198363055742186
AADAT	0.3634039343039528	1.9308326861835172	3.1808078834505498	0.002129221916352296	0.01077376576703643	-1.5095700353674752
AAGAB	-0.3408360562539725	4.974583303598472	-3.3499014869093093	0.001262619697132565	0.007582065458921733	-1.3090710822369527
AAK1	-0.41965053875325964	6.460528058912727	-3.2698387623743543	0.00162046217008563	0.008945665495648686	-1.531453831021654
AAMDC	-0.31161822334897105	3.999551189363178	-2.5461180206005336	0.012923799765529594	0.03977282730061615	-3.3263652353164876
AAMP	-0.17631831268564202	6.343578917328821	-2.4719332630826556	0.015683183818085807	0.045693088463612475	-3.5720415325357937
AAR2	-0.3003245174956719	4.870797849896367	-4.147963322165985	8.679177322256111e-05	0.001388042684215398	1.1782133645366795
AARS1	-0.25862235555852386	6.897605141633498	-3.011581651542262	0.0035309363427436327	0.015454073545598518	-2.218201544144496
AARS2	-0.15307473014684936	4.04221678280903	-2.04376164538258	0.044454450297165195	0.0987177404067894	-4.390328790220533
AARSD1	-0.25967082793378093	5.019396019408689	-3.235958597091427	0.0017988930359320316	0.00962612334768729	-1.6346346701399082
AASDH	0.061531738672209624	3.1830701472091287	0.6459019140635779	0.520295117451739	0.6304995188422093	-6.053058602401468
AASDHPPT	-0.42564529075231317	4.641261975303192	-3.9388082103329776	0.00018066983602427463	0.002166298428695666	0.5040032127326173
AASS	-0.25909338812259275	4.900142904594414	-1.511939934898989	0.13471067107578635	0.2280521106656368	-5.361050328903494
AATBC	0.10190216038510402	-1.122357585821876	0.39560960176328636	0.6935052183000623	0.7759523405851766	-5.572645327773162
